player_id,name,team,statistic,value,year,league
arenano01,Nolan Arenado,Colorado Rockies,Home Runs,42.0,2015,National
harpebr03,Bryce Harper,Washington Nationals,Home Runs,42.0,2015,National
harpebr03,Bryce Harper,Washington Nationals,On Base Percentage,0.46,2015,National
arenano01,Nolan Arenado,Colorado Rockies,RBI,130.0,2015,National
harpebr03,Bryce Harper,Washington Nationals,Runs,118.0,2015,National
harpebr03,Bryce Harper,Washington Nationals,Slugging Average,0.649,2015,National
gordode01,Dee Gordon,Miami Marlins,Stolen Bases,58.0,2015,National
arenano01,Nolan Arenado,Colorado Rockies,Total Bases,354.0,2015,National
peralda01,David Peralta,Arizona Diamondbacks,Triples,10.0,2015,National
troutmi01,Mike Trout,Los Angeles Angels,Base on Balls,116.0,2016,American
altuvjo01,Jose Altuve,Houston Astros,Batting Average,0.338,2016,American
ortizda01,David Ortiz,Boston Red Sox,Doubles,48.0,2016,American
altuvjo01,Jose Altuve,Houston Astros,Hits,216.0,2016,American
trumbma01,Mark Trumbo,Baltimore Orioles,Home Runs,47.0,2016,American
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,0.441,2016,American
encared01,Edwin Encarnacion,Toronto Blue Jays,RBI,127.0,2016,American
ortizda01,David Ortiz,Boston Red Sox,RBI,127.0,2016,American
troutmi01,Mike Trout,Los Angeles Angels,Runs,123.0,2016,American
ortizda01,David Ortiz,Boston Red Sox,Slugging Average,0.62,2016,American
davisra01,Rajai Davis,Cleveland Indians,Stolen Bases,43.0,2016,American
bettsmo01,Mookie Betts,Boston Red Sox,Total Bases,359.0,2016,American
eatonad02,Adam Eaton,Chicago White Sox,Triples,9.0,2016,American
goldspa01,Paul Goldschmidt,Arizona Diamondbacks,Base on Balls,110.0,2016,National
lemahdj01,DJ LeMahieu,Colorado Rockies,Batting Average,0.348,2016,National
murphda08,Daniel Murphy,Washington Nationals,Doubles,47.0,2016,National
segurja01,Jean Segura,Arizona Diamondbacks,Hits,203.0,2016,National
arenano01,Nolan Arenado,Colorado Rockies,Home Runs,41.0,2016,National
cartech02,Chris Carter,Milwaukee Brewers,Home Runs,41.0,2016,National
vottojo01,Joey Votto,Cincinnati Reds,On Base Percentage,0.434,2016,National
arenano01,Nolan Arenado,Colorado Rockies,RBI,133.0,2016,National
bryankr01,Kris Bryant,Chicago Cubs,Runs,121.0,2016,National
murphda08,Daniel Murphy,Washington Nationals,Slugging Average,0.595,2016,National
villajo01,Jonathan Villar,Milwaukee Brewers,Stolen Bases,62.0,2016,National
arenano01,Nolan Arenado,Colorado Rockies,Total Bases,352.0,2016,National
crawfbr01,Brandon Crawford,San Francisco Giants,Triples,11.0,2016,National
hernace02,Cesar Hernandez,Philadelphia Phillies,Triples,11.0,2016,National
owingch01,Chris Owings,Arizona Diamondbacks,Triples,11.0,2016,National
judgeaa01,Aaron Judge,New York Yankees,Base on Balls,127.0,2017,American
altuvjo01,Jose Altuve,Houston Astros,Batting Average,0.346,2017,American
ramirjo01,Jose Ramirez,Cleveland Indians,Doubles,56.0,2017,American
altuvjo01,Jose Altuve,Houston Astros,Hits,204.0,2017,American
judgeaa01,Aaron Judge,New York Yankees,Home Runs,52.0,2017,American
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,0.442,2017,American
cruzne02,Nelson Cruz,Seattle Mariners,RBI,119.0,2017,American
judgeaa01,Aaron Judge,New York Yankees,Runs,128.0,2017,American
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,0.629,2017,American
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,34.0,2017,American
abreujo02,Jose Abreu,Chicago White Sox,Total Bases,343.0,2017,American
casteni01,Nick Castellanos,Detroit Tigers,Triples,10.0,2017,American
vottojo01,Joey Votto,Cincinnati Reds,Base on Balls,134.0,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Batting Average,0.331,2017,National
arenano01,Nolan Arenado,Colorado Rockies,Doubles,43.0,2017,National
murphda08,Daniel Murphy,Washington Nationals,Doubles,43.0,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Hits,213.0,2017,National
stantmi03,Giancarlo Stanton,Miami Marlins,Home Runs,59.0,2017,National
vottojo01,Joey Votto,Cincinnati Reds,On Base Percentage,0.454,2017,National
stantmi03,Giancarlo Stanton,Miami Marlins,RBI,132.0,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Runs,137.0,2017,National
stantmi03,Giancarlo Stanton,Miami Marlins,Slugging Average,0.631,2017,National
gordode01,Dee Gordon,Miami Marlins,Stolen Bases,60.0,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Total Bases,387.0,2017,National
blackch02,Charlie Blackmon,Colorado Rockies,Triples,14.0,2017,National
troutmi01,Mike Trout,Los Angeles Angels,Base on Balls,122.0,2018,American
bettsmo01,Mookie Betts,Boston Red Sox,Batting Average,0.346,2018,American
bregmal01,Alex Bregman,Houston Astros,Doubles,50.0,2018,American
merriwh01,Whit Merrifield,Kansas City Royals,Hits,192.0,2018,American
daviskh01,Khris Davis,Oakland Athletics,Home Runs,48.0,2018,American
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,0.46,2018,American
martijd02,J.D. Martinez,Boston Red Sox,RBI,130.0,2018,American
bettsmo01,Mookie Betts,Boston Red Sox,Runs,129.0,2018,American
bettsmo01,Mookie Betts,Boston Red Sox,Slugging Average,0.64,2018,American
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,45.0,2018,American
martijd02,J.D. Martinez,Boston Red Sox,Total Bases,358.0,2018,American
sanchca01,Yolmer Sanchez,Chicago White Sox,Triples,10.0,2018,American
smithma05,Mallex Smith,Tampa Bay Rays,Triples,10.0,2018,American
harpebr03,Bryce Harper,Washington Nationals,Base on Balls,130.0,2018,National
yelicch01,Christian Yelich,Milwaukee Brewers,Batting Average,0.326,2018,National
freemfr01,Freddie Freeman,Atlanta Braves,Doubles,44.0,2018,National
rendoan01,Anthony Rendon,Washington Nationals,Doubles,44.0,2018,National
freemfr01,Freddie Freeman,Atlanta Braves,Hits,191.0,2018,National
arenano01,Nolan Arenado,Colorado Rockies,Home Runs,38.0,2018,National
vottojo01,Joey Votto,Cincinnati Reds,On Base Percentage,0.417,2018,National
baezja01,Javier Baez,Chicago Cubs,RBI,111.0,2018,National
blackch02,Charlie Blackmon,Colorado Rockies,Runs,119.0,2018,National
yelicch01,Christian Yelich,Milwaukee Brewers,Slugging Average,0.598,2018,National
turnetr01,Trea Turner,Washington Nationals,Stolen Bases,43.0,2018,National
yelicch01,Christian Yelich,Milwaukee Brewers,Total Bases,343.0,2018,National
marteke01,Ketel Marte,Arizona Diamondbacks,Triples,12.0,2018,National
bregmal01,Alex Bregman,Houston Astros,Base on Balls,119.0,2019,American
anderti01,Tim Anderson,Chicago White Sox,Batting Average,0.335,2019,American
deverra01,Rafael Devers,Boston Red Sox,Doubles,54.0,2019,American
merriwh01,Whit Merrifield,Kansas City Royals,Hits,206.0,2019,American
solerjo01,Jorge Soler,Kansas City Royals,Home Runs,48.0,2019,American
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,0.438,2019,American
abreujo02,Jose Abreu,Chicago White Sox,RBI,123.0,2019,American
bettsmo01,Mookie Betts,Boston Red Sox,Runs,135.0,2019,American
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,0.645,2019,American
smithma05,Mallex Smith,Tampa Bay Rays,Stolen Bases,46.0,2019,American
deverra01,Rafael Devers,Boston Red Sox,Total Bases,359.0,2019,American
doziehu01,Hunter Dozier,Kansas City Royals,Triples,10.0,2019,American
merriwh01,Whit Merrifield,Kansas City Royals,Triples,10.0,2019,American
mondera02,Adalberto Mondesi,Kansas City Royals,Triples,10.0,2019,American
hoskirh01,Rhys Hoskins,Philadelphia Phillies,Base on Balls,116.0,2019,National
yelicch01,Christian Yelich,Milwaukee Brewers,Batting Average,0.329,2019,National
rendoan01,Anthony Rendon,Washington Nationals,Doubles,44.0,2019,National
seageco01,Corey Seager,Los Angeles Dodgers,Doubles,44.0,2019,National
albieoz01,Ozzie Albies,Atlanta Braves,Hits,189.0,2019,National
alonspe01,Pete Alonso,New York Mets,Home Runs,53.0,2019,National
yelicch01,Christian Yelich,Milwaukee Brewers,On Base Percentage,0.429,2019,National
rendoan01,Anthony Rendon,Washington Nationals,RBI,126.0,2019,National
acunaro01,Ronald Acuna Jr.,Atlanta Braves,Runs,127.0,2019,National
yelicch01,Christian Yelich,Milwaukee Brewers,Slugging Average,0.671,2019,National
acunaro01,Ronald Acuna Jr.,Atlanta Braves,Stolen Bases,37.0,2019,National
bellico01,Cody Bellinger,Los Angeles Dodgers,Total Bases,351.0,2019,National
escobed01,Eduardo Escobar,Arizona Diamondbacks,Triples,10.0,2019,National
santaca01,Carlos Santana,Cleveland Indians,Base on Balls,47.0,2020,American
lemahdj01,DJ LeMahieu,New York Yankees,Batting Average,0.364,2020,American
hernace02,Cesar Hernandez,Cleveland Indians,Doubles,20.0,2020,American
abreujo02,Jose Abreu,Chicago White Sox,Hits,76.0,2020,American
voitlu01,Luke Voit,New York Yankees,Home Runs,22.0,2020,American
lemahdj01,DJ LeMahieu,New York Yankees,On Base Percentage,0.421,2020,American
abreujo02,Jose Abreu,Chicago White Sox,RBI,60.0,2020,American
anderti01,Tim Anderson,Chicago White Sox,Runs,45.0,2020,American
ramirjo01,Jose Ramirez,Cleveland Indians,Runs,45.0,2020,American
abreujo02,Jose Abreu,Chicago White Sox,Slugging Average,0.617,2020,American
mondera02,Adalberto Mondesi,Kansas City Royals,Stolen Bases,24.0,2020,American
abreujo02,Jose Abreu,Chicago White Sox,Total Bases,148.0,2020,American
tuckeky01,Kyle Tucker,Houston Astros,Triples,6.0,2020,American
harpebr03,Bryce Harper,Philadelphia Phillies,Base on Balls,49.0,2020,National
sotoju01,Juan Soto,Washington Nationals,Batting Average,0.351,2020,National
freemfr01,Freddie Freeman,Atlanta Braves,Doubles,23.0,2020,National
